FID,Long,Lat,Segment,seg_length,n,river_mean,river_medi,river_p20,river_p80,river_min,river_max,land_mean,land_media,land_p20,land_p80,land_min,land_max,width_mean,width_medi,width_p20,width_p80,width_min,width_max,width_sd,averaged,DEM_mean,DEM_median,DEM_p20,DEM_p80,DEM_min,DEM_max,DEM_sd,DEM_n
0,89.299893737900007,22.239300676100001,1,35.027843694900000,7,23.130901699999999,21.674153329999999,19.453356840000001,26.065047360000001,18.386655950000002,31.495515780000002,23.109831450000001,21.645876250000001,15.579702310000000,29.149799999999999,14.857295430000001,33.921945430000001,3.481534094000000,3.285428928000000,2.676956618000000,4.164194882000000,2.462200065000000,4.797648071000000,0.890597700000000,original,3.316407767000000,3.263589950000000,3.141175900000000,3.428180020000000,3.015260000000000,4.433280000000000,0.257559999000000,72
1,89.303375128300004,22.246533526000000,2,53.960895048399998,5,36.609736679999997,30.627941780000000,29.375297150000002,44.777039379999998,25.234144350000001,54.406283580000000,52.513608869999999,52.244389499999997,48.226124089999999,55.814629940000003,45.763292780000000,61.266990329999999,3.191565705000000,2.205378706000000,2.048507450000000,4.793818158000000,1.922201677000000,5.010522070000000,1.543080092000000,original,2.681003575000000,2.690269900000000,2.485258060000000,2.808887960000000,2.432990100000000,2.987350000000000,0.166323313000000,53
2,89.329274414300002,22.282010945400000,3,70.862537686699994,10,32.866127949999999,33.788997270000003,30.391147719999999,35.176853800000004,26.066780959999999,38.049002190000003,35.169713070000000,35.176665020000002,33.196514120000003,36.876750790000003,28.302154179999999,42.044936600000000,2.214358712000000,2.148204574000000,2.071328169000000,2.395006701000000,2.038714546000000,2.523410589000000,0.185845571000000,original,4.687073043000000,4.721475150000000,4.581062200000000,4.802353980000000,4.425380200000000,4.864069900000000,0.124421087000000,82
3,89.323848249099996,22.289590302800001,4,120.157389163000005,6,40.377186410000000,39.498362980000003,36.823387590000003,41.316828540000003,32.562239890000001,52.563936490000003,41.709214019999997,44.015850460000003,39.127167890000003,46.691492799999999,28.223936940000002,48.180985589999999,4.405668955000000,4.832814510000000,3.065439094000000,5.230341897000000,2.982712859000000,5.489890858000000,1.102210362000000,original,5.986342521000000,5.990185000000000,5.944708080000000,6.031875800000000,5.853020200000000,6.110040200000000,0.060222474000000,120
4,89.329124171299995,22.286921611000000,5,99.999960149600000,3,43.603354369999998,45.168384029999999,37.811819749999998,49.707894920000001,32.907443559999997,52.734235509999998,50.563276860000002,52.879464810000002,45.818946009999998,55.770845309999999,41.111933469999997,57.698432310000001,4.577882210000000,4.380797959000000,4.367241232000000,4.749106338000000,4.358203414000000,4.994645258000000,0.361104149000000,original,6.373568174000000,6.364190100000000,6.319691920000000,6.423428020000000,6.178269900000000,6.517370200000000,0.068954858000000,99
5,89.328250009399994,22.287312610299999,6,100.000013484999997,4,39.311430160000000,39.469713319999997,31.541073590000000,47.145099989999999,28.327590539999999,49.978703459999998,45.410774889999999,45.342157270000001,36.563915510000001,54.230187229999999,35.956775399999998,55.002009630000003,5.090396028000000,5.071022862000000,5.066401706000000,5.106641083000000,5.061888747000000,5.157649640000000,0.045061265000000,original,6.168368900000000,6.226234900000000,5.913876040000000,6.362847800000000,5.859270100000000,6.425139900000000,0.194854004000000,100
6,89.327414851699999,22.287770308199999,7,100.000040834999993,4,34.355422709999999,33.102618229999997,31.187465180000000,37.022258450000002,29.646585869999999,41.569868489999998,43.701047180000003,42.553606440000003,41.733820760000000,45.209297319999997,40.607204629999998,49.089771220000003,4.677927319000000,4.673872356000000,4.650012244000000,4.704220409000000,4.634242792000000,4.729721772000000,0.040743839000000,original,6.037846497000000,6.031165150000000,5.927003840000000,6.162025820000000,5.878109900000000,6.243410100000000,0.111785972000000,100
7,89.326583416899993,22.288235404900000,8,100.000007730999997,4,30.744723749999999,31.007053400000000,29.868135639999998,31.726243719999999,28.849013180000000,32.115775020000001,42.857963699999999,41.577759540000002,40.234775870000000,44.969069869999998,39.530909579999999,48.745426139999999,5.349877073000000,5.360697747000000,5.304651276000000,5.399431141000000,5.258968455000000,5.419144343000000,0.069776621000000,original,6.239349488000000,6.242589950000000,6.164295880000000,6.312427880000000,6.061060000000000,6.365769900000000,0.079473350000000,100
8,89.325758723299998,22.288710700399999,9,99.999985543500003,3,29.499620260000000,31.501419989999999,26.384922530000001,33.014677939999999,22.973924230000002,34.023516569999998,36.491416289999997,38.126431279999998,33.492520149999997,39.817315430000001,30.403246070000002,40.944571529999997,5.062870298000000,5.231777347000000,4.902898221000000,5.256623785000000,4.683645470000000,5.273188076000000,0.329070379000000,original,6.229599468000000,6.233009800000000,6.201424000000000,6.284585860000000,6.078599900000000,6.356870200000000,0.061204475000000,99
9,89.324912844099998,22.289149921700002,10,100.000029476999998,5,31.375390190000001,33.193548149999998,28.510171549999999,34.582282210000002,22.824915420000000,36.932198730000003,39.269054259999997,41.319784120000001,37.770889720000000,42.772360020000001,27.159310260000002,45.302589779999998,4.530629743000000,4.449414983000000,4.320998229000000,4.711829905000000,4.208345637000000,5.008585784000000,0.309550893000000,original,5.991164005000000,5.977740050000000,5.899357800000000,6.110372200000000,5.791790000000000,6.152770000000000,0.102763696000000,100
